incident_id,utc_ts,severity,class,rule_or_gate,command,input_ref,output_ref,evidence_path,notes,state_sha256
INC-20260304-193507,2026-03-04T19:35:07.331432Z,LOW,BOOTSTRAP,,office.bootstrap,{},state.json,C:\Users\Accordion to JR\Documents\Office-App\backend\state.json,Initialized state.json (default lobby + receptionist).,7c007d957808d848e38343bd9eb1f5430696b58f7bc132e480ee7468c64657d3
INC-20260305-105744,2026-03-05T10:57:44.334280Z,LOW,STATE_CHANGE,Room State Model v1.0.0,office.room_set,"{""room_id"": ""law_office""}",state.json,C:\Users\Accordion to JR\Documents\Office-App\backend\state.json,active_room: lobby -> law_office,07b3bc9b7aad6378f2fc85d6f2844c8e3334f0bcc82bff7960c5df01ee39c82a
